X1,Street,lon,lat,group_id,min_hawker,SUBZONE_NO,SUBZONE_N,REGION_N,min_clinic,min_school,min_MRT
218,JLN BATU,103.88350246,1.30225734,218,51.9251489954195,3,CHONG BOON,NORTH-EAST REGION,102,799,650
219,JLN BERSEH,103.857566,1.3063,219,139.339418509256,3,CHONG BOON,NORTH-EAST REGION,98,395,400
220,JLN BT HO SWEE,103.8301538875,1.28768215,220,67.024816409925,3,CHONG BOON,NORTH-EAST REGION,513,864,523
221,JLN BT MERAH,103.822146475,1.28106191428571,221,445.936668459644,3,CHONG BOON,NORTH-EAST REGION,325,954,1075
222,JLN DAMAI,103.908504141667,1.33366385833333,222,620.144644607314,3,CHONG BOON,NORTH-EAST REGION,197,661,226
223,JLN DUA,103.8877113,1.30880865,223,217.901386676529,3,CHONG BOON,NORTH-EAST REGION,471,235,328
224,JLN DUSUN,103.844527733333,1.32833303333333,224,1078.73570194591,3,CHONG BOON,NORTH-EAST REGION,432,877,862
225,JLN KAYU,103.873186925,1.3922313,225,436.827613922497,3,CHONG BOON,NORTH-EAST REGION,1082,371,462
226,JLN KLINIK,103.828471125,1.28802925,226,128.758272088411,3,CHONG BOON,NORTH-EAST REGION,389,823,466
227,JLN KUKOH,103.839028566667,1.28734573333333,227,141.407989223776,3,CHONG BOON,NORTH-EAST REGION,35,445,870
228,JLN MA'MOR,103.85722757,1.32834809,228,641.32063069924,3,CHONG BOON,NORTH-EAST REGION,818,1029,1390
229,JLN MEMBINA,103.825763635294,1.28337468823529,229,373.657900832222,3,CHONG BOON,NORTH-EAST REGION,492,271,392
230,JLN MEMBINA BARAT,103.8266828,1.2834914,230,392.66331542929,3,CHONG BOON,NORTH-EAST REGION,353,265,292
231,JLN PASAR BARU,103.88246,1.31453,231,440.908045888472,3,CHONG BOON,NORTH-EAST REGION,348,639,305
232,JLN RAJAH,103.85348715,1.3282241375,232,534.94418354494,3,CHONG BOON,NORTH-EAST REGION,431,1265,1145
233,JLN RUMAH TINGGI,103.809148644444,1.28870337777778,233,224.441208392131,3,CHONG BOON,NORTH-EAST REGION,428,748,1279
234,JLN TECK WHYE,103.756986369231,1.37970670769231,234,1740.96216071652,3,CHONG BOON,NORTH-EAST REGION,221,405,280
235,JLN TENAGA,103.9067667,1.33290168125,235,811.488693949285,3,CHONG BOON,NORTH-EAST REGION,174,773,482
236,JLN TENTERAM,103.85927004,1.3279981,236,723.832596723142,3,CHONG BOON,NORTH-EAST REGION,617,882,1242
237,JLN TIGA,103.88491298,1.30844156,237,104.546555501286,3,CHONG BOON,NORTH-EAST REGION,180,345,449
238,JOO CHIAT RD,103.89874555,1.31535815,238,162.214063776709,3,CHONG BOON,NORTH-EAST REGION,260,834,955
239,JOO SENG RD,103.880211684615,1.33542986153846,239,1024.69786697057,3,CHONG BOON,NORTH-EAST REGION,283,704,1530
240,JURONG EAST AVE 1,103.731037906667,1.34965124666667,240,483.535239616927,3,CHONG BOON,NORTH-EAST REGION,81,408,996
241,JURONG EAST ST 13,103.736687775,1.33815275,241,597.399678598289,3,CHONG BOON,NORTH-EAST REGION,237,291,716
242,JURONG EAST ST 21,103.740006647273,1.33982477272727,242,470.457413251212,3,CHONG BOON,NORTH-EAST REGION,638,567,1478
243,JURONG EAST ST 24,103.740279668182,1.34305972272727,243,281.246163329166,3,CHONG BOON,NORTH-EAST REGION,175,73,1037
244,JURONG EAST ST 31,103.737445638889,1.34634300555556,244,322.930547177472,3,CHONG BOON,NORTH-EAST REGION,328,879,881
245,JURONG EAST ST 32,103.733853616667,1.34662661666667,245,291.810517658699,3,CHONG BOON,NORTH-EAST REGION,386,286,798
246,JURONG WEST AVE 1,103.722562402941,1.35077060882353,246,474.63154822383,3,CHONG BOON,NORTH-EAST REGION,86,379,1255
247,JURONG WEST AVE 3,103.703692128571,1.35210645714286,247,1267.53782705923,3,CHONG BOON,NORTH-EAST REGION,239,403,1941
248,JURONG WEST AVE 5,103.69765534,1.34513014,248,428.885265245813,3,CHONG BOON,NORTH-EAST REGION,44,240,1100
249,JURONG WEST CTRL 1,103.70567775,1.34305681428571,249,828.011556696255,3,CHONG BOON,NORTH-EAST REGION,344,546,789
250,JURONG WEST ST 24,103.704649675,1.35058885,250,1083.83492844458,3,CHONG BOON,NORTH-EAST REGION,487,607,1753
251,JURONG WEST ST 25,103.703338555556,1.35305725555556,251,1363.4736285412,2,CHENG SAN,NORTH-EAST REGION,79,240,2108
252,JURONG WEST ST 41,103.722990953125,1.3489512375,252,511.372286341464,2,CHENG SAN,NORTH-EAST REGION,212,631,968
253,JURONG WEST ST 42,103.720929083333,1.35274202592593,253,440.173110352033,2,CHENG SAN,NORTH-EAST REGION,341,284,1403
254,JURONG WEST ST 51,103.719092,1.3498337,254,74.7801811896609,2,CHENG SAN,NORTH-EAST REGION,23,444,976
255,JURONG WEST ST 52,103.71786099697,1.34736483939394,255,260.146900006378,2,CHENG SAN,NORTH-EAST REGION,175,233,640
256,JURONG WEST ST 61,103.697611985,1.33816894,256,342.543071344893,2,CHENG SAN,NORTH-EAST REGION,823,198,80
257,JURONG WEST ST 62,103.700237116667,1.33919341666667,257,389.354787238765,2,CHENG SAN,NORTH-EAST REGION,849,453,573
258,JURONG WEST ST 64,103.703820986047,1.34122629534884,258,714.124379526453,2,CHENG SAN,NORTH-EAST REGION,454,344,473
259,JURONG WEST ST 65,103.700804698113,1.34062349245283,259,384.91704322992,2,CHENG SAN,NORTH-EAST REGION,779,470,678
260,JURONG WEST ST 71,103.695654105556,1.34261180555556,260,245.539065238611,2,CHENG SAN,NORTH-EAST REGION,375,579,722
261,JURONG WEST ST 72,103.6984729,1.34580353333333,261,516.318329593945,2,CHENG SAN,NORTH-EAST REGION,127,313,1217
262,JURONG WEST ST 73,103.698998607692,1.3470217076923101,262,661.379888801306,2,CHENG SAN,NORTH-EAST REGION,331,239,1421
263,JURONG WEST ST 74,103.699763907692,1.34946886153846,263,944.95124945834,2,CHENG SAN,NORTH-EAST REGION,419,395,1745
264,JURONG WEST ST 75,103.701187925,1.34633615,264,701.712437348974,2,CHENG SAN,NORTH-EAST REGION,505,383,1198
265,JURONG WEST ST 81,103.69435220678,1.34614717966102,265,638.308370510617,2,CHENG SAN,NORTH-EAST REGION,404,670,1214
266,JURONG WEST ST 91,103.688457202632,1.34217013684211,266,1000.78923085736,2,CHENG SAN,NORTH-EAST REGION,322,164,1315
267,JURONG WEST ST 92,103.689488315385,1.34057837692308,267,884.176767305766,2,CHENG SAN,NORTH-EAST REGION,282,297,1223
268,JURONG WEST ST 93,103.69462535,1.33762269615385,268,507.325203689371,2,CHENG SAN,NORTH-EAST REGION,676,581,305
269,KALLANG BAHRU,103.86881104,1.32071566,269,156.378047805036,2,CHENG SAN,NORTH-EAST REGION,74,484,448
270,KANG CHING RD,103.721474825,1.3391696375,270,506.489468454681,2,CHENG SAN,NORTH-EAST REGION,772,405,641
271,KELANTAN RD,103.856955033333,1.30583146666667,271,166.800346434147,2,CHENG SAN,NORTH-EAST REGION,63,373,316
272,KENT RD,103.799,1.3033,272,316.95905238799,2,CHENG SAN,NORTH-EAST REGION,421,558,146
273,KG ARANG RD,103.8839736,1.3005106,273,211.03250353025,2,CHENG SAN,NORTH-EAST REGION,342,758,891
274,KG BAHRU HILL,103.83641658,1.27708658,274,753.077581629201,2,CHENG SAN,NORTH-EAST REGION,437,881,368
275,KG KAYU RD,103.883815,1.3036012,275,131.487127701643,2,CHENG SAN,NORTH-EAST REGION,172,776,477
276,KIM CHENG ST,103.8317521,1.284646425,276,82.4417284828025,2,CHENG SAN,NORTH-EAST REGION,322,1125,659
277,KIM KEAT AVE,103.8580406,1.33192806666667,277,381.998961140957,2,CHENG SAN,NORTH-EAST REGION,112,226,1439
278,KIM KEAT LINK,103.856344641667,1.33097161666667,278,477.274340381521,2,CHENG SAN,NORTH-EAST REGION,250,495,1255
279,KIM PONG RD,103.8303451,1.2846346,279,228.566073231968,2,CHENG SAN,NORTH-EAST REGION,601,808,492
280,KIM TIAN PL,103.827816216667,1.28307351666667,280,394.208198519824,2,CHENG SAN,NORTH-EAST REGION,513,591,618
281,KIM TIAN RD,103.828761376471,1.28193884117647,281,373.191803516259,2,CHENG SAN,NORTH-EAST REGION,280,934,829
282,KING GEORGE'S AVE,103.860960925,1.30856065,282,449.299869339976,2,CHENG SAN,NORTH-EAST REGION,158,909,272
283,KLANG LANE,103.85254855,1.308887925,283,371.983450721077,2,CHENG SAN,NORTH-EAST REGION,249,838,459
284,KRETA AYER RD,103.8422758,1.2815328,284,126.903431963439,5,SHANGRI-LA,NORTH-EAST REGION,134,1295,559
285,LENGKOK BAHRU,103.812798641667,1.28795763333333,285,531.546623381159,5,SHANGRI-LA,NORTH-EAST REGION,301,861,710
286,LENGKONG TIGA,103.9108562625,1.32447484375,286,865.234382987069,6,KEBUN BAHRU,NORTH-EAST REGION,170,996,478
287,LIM CHU KANG RD,103.7043905,1.42149995,287,8098.21394477826,6,KEBUN BAHRU,NORTH-EAST REGION,13304,12303,12922
288,LIM LIAK ST,103.831320477778,1.2853743,288,118.732415966822,6,KEBUN BAHRU,NORTH-EAST REGION,346,852,535
289,LOMPANG RD,103.765466385714,1.37989782857143,289,821.837957423886,6,KEBUN BAHRU,NORTH-EAST REGION,272,684,376
