school_name,address,postal_code,dgp_code,zone_code,lon,lat,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO Singapore,536742,HOUGANG,EAST,103.88551030000001,1.3508153,8,TAI SENG,HOUGANG,NORTH-EAST REGION
YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1 Singapore,538884,HOUGANG,SOUTH,103.8900219,1.3572435,7,LORONG AH SOO,HOUGANG,NORTH-EAST REGION
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13 Singapore,579795,BISHAN,SOUTH,103.854975,1.349774,3,BISHAN EAST,BISHAN,CENTRAL REGION
ST. HILDA'S SECONDARY SCHOOL,2 TAMPINES STREET 82 Singapore,528986,TAMPINES,EAST,103.9366957,1.3504543,3,TAMPINES WEST,TAMPINES,EAST REGION
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE Singapore,599986,BUKIT TIMAH,WEST,103.782566,1.332954,3,HOLLAND ROAD,BUKIT TIMAH,CENTRAL REGION
HAI SING CATHOLIC SCHOOL,9 PASIR RIS DRIVE 6 Singapore,519421,PASIR RIS,EAST,103.954463,1.374513,5,PASIR RIS DRIVE,PASIR RIS,EAST REGION
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD Singapore,309919,NOVENA,SOUTH,103.8359365,1.3188316,3,MALCOLM,NOVENA,CENTRAL REGION
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD Singapore,487012,BEDOK,EAST,103.942429,1.3300216,4,BEDOK NORTH,BEDOK,EAST REGION
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22 Singapore,579767,BISHAN,NORTH,103.8454488,1.3551578,2,MARYMOUNT,BISHAN,CENTRAL REGION
CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD Singapore,439012,MARINE PARADE,EAST,103.8925324,1.3048047,1,MOUNTBATTEN,MARINE PARADE,CENTRAL REGION
CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61 Singapore,768547,YISHUN,NORTH,103.837311,1.418737,4,YISHUN SOUTH,YISHUN,NORTH REGION
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD Singapore,534786,HOUGANG,SOUTH,103.896018,1.371204,3,HOUGANG EAST,HOUGANG,NORTH-EAST REGION
