Block_No,Street_Name,Postal_Code,1_Room,2_Room,Application_Zone
10,Jln Bt Ho Swee,161010,N,Y,Bukit Merah/Jurong
19,Telok Blangah Cres,090019,Y,N,Bukit Merah/Jurong
29,Telok Blangah Rise,090029,N,Y,Bukit Merah/Jurong
41,Telok Blangah Rise,090041,N,Y,Bukit Merah/Jurong
42,Beo Cres,160042,N,Y,Bukit Merah/Jurong
44,Beo Cres,160044,N,Y,Bukit Merah/Jurong
45,Telok Blangah Dr,100045,N,Y,Bukit Merah/Jurong
48,Lower Delta Rd,160048,N,Y,Bukit Merah/Jurong
50,Havelock Rd,160050,N,Y,Bukit Merah/Jurong
55,Lengkok Bahru,151055,N,Y,Bukit Merah/Jurong
56,Lengkok Bahru,150056,N,Y,Bukit Merah/Jurong
57,Lengkok Bahru,151057,N,Y,Bukit Merah/Jurong
58,Lengkok Bahru,150058,N,Y,Bukit Merah/Jurong
59,Lengkok Bahru,150059,N,Y,Bukit Merah/Jurong
61,Lengkok Bahru,150061,N,Y,Bukit Merah/Jurong
71,Redhill Rd,150071,Y,Y,Bukit Merah/Jurong
72,Redhill Rd,150072,Y,Y,Bukit Merah/Jurong
76,Telok Blangah Dr,100076,N,Y,Bukit Merah/Jurong
78,Redhill Lane,150078,N,Y,Bukit Merah/Jurong
79,Indus Rd,161079,Y,N,Bukit Merah/Jurong
89,Redhill Cl,150089,Y,N,Bukit Merah/Jurong
90,Redhill Cl,150090,Y,N,Bukit Merah/Jurong
91,Henderson Rd,150091,N,Y,Bukit Merah/Jurong
92,Henderson Rd,150092,N,Y,Bukit Merah/Jurong
"93,Henderson Rd	150093,N,Y,Bukit Merah/Jurong"
104,Jln Bt Merah,160104,N,Y,Bukit Merah/Jurong
105,Jln Bt Merah,160105,Y,Y,Bukit Merah/Jurong
106,Jln Bt Merah,160106,Y,Y,Bukit Merah/Jurong
110,Jln Bt Merah,160110,N,Y,Bukit Merah/Jurong
115,Jln Bt Merah,160115,N,Y,Bukit Merah/Jurong
116,Jln Bt Merah,160116,N,Y,Bukit Merah/Jurong
117,Bt Merah View,151117,Y,N,Bukit Merah/Jurong
117,Jln Bt Merah,160117,N,Y,Bukit Merah/Jurong
121,Bt Merah View,151121,Y,N,Bukit Merah/Jurong
